Ref,Name,Category,Address,Days,Hours,Number of Reviews,Rating,Excellent,Very Good,Average,Poor,Terrible,Certified,Latitude,Longitude
/Attraction_Review-g303631-d4377460-Reviews-Museum_of_Energy_of_Sao_Paulo-Sao_Paulo_State_of_Sao_Paulo.html,Museu da Energia de São Paulo,Museus especializados,"Alameda Cleveland n 601 | Campos Eliseos, São Paulo, Estado de São Paulo 01218-000, Brasil",Ter - Qua,10:00 - 18:00,18.0,"4,0",33%,45%,22%,0%,0%,False,-23.53028,-46.6433
/Attraction_Review-g303631-d2350014-Reviews-Science_Station_of_the_University_of_Sao_Paulo-Sao_Paulo_State_of_Sao_Paulo.html,Estação Ciência da Universidade de São Paulo,Museus de ciência,"Rua Guaicurus, 1394 | Lapa, São Paulo, Estado de São Paulo 05033-002, Brasil",Seg - Sex,08:00 - 19:00,66.0,"4,0",39%,46%,12%,0%,3%,False,-23.52275,-46.69313
/Attraction_Review-g303631-d10786295-Reviews-Casa_de_Portugal-Sao_Paulo_State_of_Sao_Paulo.html,Casa de Portugal,,"Avenida Liberdade, 602 | Liberdade, São Paulo, Estado de São Paulo 01502-001, Brasil",,,6.0,"4,0",51%,16%,33%,0%,0%,False,-23.55821,-46.63707
/Attraction_Review-g303631-d8310412-Reviews-Parque_Prefeito_Mario_Covas-Sao_Paulo_State_of_Sao_Paulo.html,Parque Prefeito Mário Covas,Parques,"Avenida Paulista 1853, São Paulo, Estado de São Paulo 01311-200, Brasil",Dom - Sáb,07:00 - 18:00,42.0,"4,0",19%,56%,16%,7%,2%,False,-23.55994,-46.65844
/Attraction_Review-g303631-d10820575-Reviews-Prandiano_Museu_da_Matematica-Sao_Paulo_State_of_Sao_Paulo.html,Prandiano Museu da Matemática,Museus especializados,"Rua Gaspar Lourenco 64 | Metrô Ana Rosa, São Paulo, Estado de São Paulo 04107-000, Brasil",,,8.0,"5,0",88%,12%,0%,0%,0%,False,-23.5806,-46.63539
/Attraction_Review-g303631-d15013369-Reviews-Vila_Madalena-Sao_Paulo_State_of_Sao_Paulo.html,Vila Madalena,Pontos de interesse,"Rua Harmonia 26 | Entrada do Beco do Batman - Vila Madalena, São Paulo, Estado de São Paulo 05435-000, Brasil",,,5.0,"4,5",60%,20%,20%,0%,0%,False,0.0,0.0
/Attraction_Review-g303631-d4326768-Reviews-Augusta_Theater-Sao_Paulo_State_of_Sao_Paulo.html,Teatro Augusta,Teatros,"Rua Augusta 943, São Paulo, Estado de São Paulo 01305-100, Brasil",,,76.0,"4,0",27%,35%,38%,0%,0%,False,-23.55333,-46.65493
/Attraction_Review-g303631-d12030078-Reviews-Parque_das_Artes-Sao_Paulo_State_of_Sao_Paulo.html,Parque das Artes,Massas de água,"R. Joaquim Simões Gomes, 420 - Nova Aliança, Ribeirão Preto - SP, São Paulo, Estado de São Paulo 14026-580, Brasil",,,12.0,"4,5",50%,50%,0%,0%,0%,False,0.0,0.0
/Attraction_Review-g303631-d17548998-Reviews-Shopping_Parque_da_Cidade-Sao_Paulo_State_of_Sao_Paulo.html,Shopping Parque da Cidade,Shopping centers,"Av. das Nações Unidas, 14401 | Chácara Santo Antônio (Zona Sul), São Paulo, Estado de São Paulo 04794-000, Brasil",Dom,14:00 - 20:00,15.0,"4,0",26%,48%,26%,0%,0%,False,0.0,0.0
/Attraction_Review-g303631-d4377560-Reviews-Architectural_Site_Small_Hills-Sao_Paulo_State_of_Sao_Paulo.html,Sítio Morrinhos,Museus especializados,"Rua Santo Anselmo 102 | Jardim Sao Bento, São Paulo, Estado de São Paulo 02525-080, Brasil",,,19.0,"4,0",26%,59%,10%,5%,0%,False,-23.50602,-46.64906
